setting,target_outcome,target_policy,target_k,r,functional,quantity,point_estimate,boot_mean,boot_se,n_boot_nonmissing,ci_low,ci_high,ci_type,estimate_ci
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,ATE,Delta_h,-1.833153,-0.313389,0.876766,500,-3.551615,-0.114691,bootstrap_se_centered,"-1.8332 [-3.5516, -0.1147]"
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,ATE,Delta_h_matrix,0.472197,-0.062184,0.86311,500,-1.219498,2.163892,bootstrap_se_centered,"0.4722 [-1.2195, 2.1639]"
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,ATE,Psi0,3.422831,1.504585,1.197036,500,1.07664,5.769022,bootstrap_se_centered,"3.4228 [1.0766, 5.7690]"
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,ATE,Psi0_matrix,1.11748,1.25338,1.228152,500,-1.289698,3.524658,bootstrap_se_centered,"1.1175 [-1.2897, 3.5247]"
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,ATE,Psi1,1.589677,1.191196,0.788574,500,0.044072,3.135282,bootstrap_se_centered,"1.5897 [0.0441, 3.1353]"
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,ATE,tensor_minus_matrix,2.305351,0.251205,0.915583,500,0.510808,4.099894,bootstrap_se_centered,"2.3054 [0.5108, 4.0999]"
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,Trend,Delta_h,0.004442,0.003828,0.047932,500,-0.089505,0.098389,bootstrap_se_centered,"0.0044 [-0.0895, 0.0984]"
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,Trend,Delta_h_matrix,-0.034195,0.024714,0.088314,500,-0.207291,0.138901,bootstrap_se_centered,"-0.0342 [-0.2073, 0.1389]"
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,Trend,Psi0,-0.036029,-0.034688,0.036918,500,-0.108389,0.036331,bootstrap_se_centered,"-0.0360 [-0.1084, 0.0363]"
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,Trend,Psi0_matrix,0.002607,-0.055574,0.088934,500,-0.171704,0.176918,bootstrap_se_centered,"0.0026 [-0.1717, 0.1769]"
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,Trend,Psi1,-0.031587,-0.03086,0.045486,500,-0.120739,0.057565,bootstrap_se_centered,"-0.0316 [-0.1207, 0.0576]"
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,Trend,tensor_minus_matrix,-0.038636,0.020886,0.089429,500,-0.213916,0.136644,bootstrap_se_centered,"-0.0386 [-0.2139, 0.1366]"
